dataset,split,label,filename,relative_path,extension,duration_sec,fps,width,height,codec,nb_frames,size_mb,bitrate_kbps,error
RWF_2000,train,Violence,Train_Fight_289.avi,RWF_2000/train/Train_Fight/Train_Fight_289.avi,.avi,5.0,30.0,1280,720,mjpeg,150,11.59,19446.9,
RWF_2000,train,Violence,Train_Fight_290.avi,RWF_2000/train/Train_Fight/Train_Fight_290.avi,.avi,5.0,30.0,1280,720,mjpeg,150,6.98,11706.6,
RWF_2000,train,Violence,Train_Fight_292.avi,RWF_2000/train/Train_Fight/Train_Fight_292.avi,.avi,5.0,30.0,1280,720,mjpeg,150,9.67,16216.9,
RWF_2000,train,Violence,Train_Fight_294.avi,RWF_2000/train/Train_Fight/Train_Fight_294.avi,.avi,5.0,30.0,1280,720,mjpeg,150,7.33,12295.9,
RWF_2000,train,Violence,Train_Fight_297.avi,RWF_2000/train/Train_Fight/Train_Fight_297.avi,.avi,5.0,30.0,320,240,mjpeg,150,2.64,4430.5,
RWF_2000,train,Violence,Train_Fight_30.avi,RWF_2000/train/Train_Fight/Train_Fight_30.avi,.avi,5.0,30.0,1280,720,mjpeg,150,14.51,24347.8,
RWF_2000,train,Violence,Train_Fight_300.avi,RWF_2000/train/Train_Fight/Train_Fight_300.avi,.avi,5.0,30.0,640,360,mjpeg,150,2.58,4332.4,
RWF_2000,train,Violence,Train_Fight_304.avi,RWF_2000/train/Train_Fight/Train_Fight_304.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.18,1977.8,
RWF_2000,train,Violence,Train_Fight_305.avi,RWF_2000/train/Train_Fight/Train_Fight_305.avi,.avi,5.0,30.0,1280,720,mjpeg,150,8.76,14693.0,
RWF_2000,train,Violence,Train_Fight_306.avi,RWF_2000/train/Train_Fight/Train_Fight_306.avi,.avi,5.0,30.0,1280,720,mjpeg,150,6.08,10193.3,
RWF_2000,train,Violence,Train_Fight_31.avi,RWF_2000/train/Train_Fight/Train_Fight_31.avi,.avi,5.0,30.0,1280,720,mjpeg,150,12.92,21681.1,
RWF_2000,train,Violence,Train_Fight_310.avi,RWF_2000/train/Train_Fight/Train_Fight_310.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.69,2837.8,
RWF_2000,train,Violence,Train_Fight_313.avi,RWF_2000/train/Train_Fight/Train_Fight_313.avi,.avi,5.0,30.0,400,222,mjpeg,150,1.43,2396.7,
RWF_2000,train,Violence,Train_Fight_314.avi,RWF_2000/train/Train_Fight/Train_Fight_314.avi,.avi,5.0,30.0,1280,720,mjpeg,150,4.84,8114.0,
RWF_2000,train,Violence,Train_Fight_315.avi,RWF_2000/train/Train_Fight/Train_Fight_315.avi,.avi,5.0,30.0,640,360,mjpeg,150,2.55,4275.6,
RWF_2000,train,Violence,Train_Fight_316.avi,RWF_2000/train/Train_Fight/Train_Fight_316.avi,.avi,5.0,30.0,624,352,mjpeg,150,3.22,5408.1,
RWF_2000,train,Violence,Train_Fight_317.avi,RWF_2000/train/Train_Fight/Train_Fight_317.avi,.avi,5.0,30.0,488,360,mjpeg,150,2.46,4122.2,
RWF_2000,train,Violence,Train_Fight_322.avi,RWF_2000/train/Train_Fight/Train_Fight_322.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.62,2719.9,
RWF_2000,train,Violence,Train_Fight_323.avi,RWF_2000/train/Train_Fight/Train_Fight_323.avi,.avi,5.0,30.0,640,358,mjpeg,150,8.53,14315.1,
RWF_2000,train,Violence,Train_Fight_326.avi,RWF_2000/train/Train_Fight/Train_Fight_326.avi,.avi,5.0,30.0,640,360,mjpeg,150,4.3,7213.0,
RWF_2000,train,Violence,Train_Fight_327.avi,RWF_2000/train/Train_Fight/Train_Fight_327.avi,.avi,5.0,30.0,1280,720,mjpeg,150,6.76,11342.3,
RWF_2000,train,Violence,Train_Fight_328.avi,RWF_2000/train/Train_Fight/Train_Fight_328.avi,.avi,5.0,30.0,1280,720,mjpeg,150,17.36,29128.0,
RWF_2000,train,Violence,Train_Fight_329.avi,RWF_2000/train/Train_Fight/Train_Fight_329.avi,.avi,5.0,30.0,626,360,mjpeg,150,6.0,10063.2,
RWF_2000,train,Violence,Train_Fight_332.avi,RWF_2000/train/Train_Fight/Train_Fight_332.avi,.avi,5.0,30.0,1280,720,mjpeg,150,8.36,14020.7,
RWF_2000,train,Violence,Train_Fight_333.avi,RWF_2000/train/Train_Fight/Train_Fight_333.avi,.avi,5.0,30.0,1280,720,mjpeg,150,12.45,20885.7,
RWF_2000,train,Violence,Train_Fight_335.avi,RWF_2000/train/Train_Fight/Train_Fight_335.avi,.avi,5.0,30.0,640,360,mjpeg,150,3.27,5491.4,
RWF_2000,train,Violence,Train_Fight_336.avi,RWF_2000/train/Train_Fight/Train_Fight_336.avi,.avi,5.0,30.0,1280,720,mjpeg,150,16.65,27931.8,
RWF_2000,train,Violence,Train_Fight_340.avi,RWF_2000/train/Train_Fight/Train_Fight_340.avi,.avi,5.0,30.0,1280,720,mjpeg,150,3.81,6399.0,
RWF_2000,train,Violence,Train_Fight_341.avi,RWF_2000/train/Train_Fight/Train_Fight_341.avi,.avi,5.0,30.0,384,288,mjpeg,150,2.08,3495.6,
RWF_2000,train,Violence,Train_Fight_344.avi,RWF_2000/train/Train_Fight/Train_Fight_344.avi,.avi,5.0,30.0,1280,720,mjpeg,150,16.93,28412.2,
RWF_2000,train,Violence,Train_Fight_345.avi,RWF_2000/train/Train_Fight/Train_Fight_345.avi,.avi,5.0,30.0,320,240,mjpeg,150,2.19,3673.9,
RWF_2000,train,Violence,Train_Fight_349.avi,RWF_2000/train/Train_Fight/Train_Fight_349.avi,.avi,5.0,30.0,960,720,mjpeg,150,3.8,6378.6,
RWF_2000,train,Violence,Train_Fight_350.avi,RWF_2000/train/Train_Fight/Train_Fight_350.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.29,2171.4,
RWF_2000,train,Violence,Train_Fight_352.avi,RWF_2000/train/Train_Fight/Train_Fight_352.avi,.avi,5.0,30.0,426,240,mjpeg,150,2.76,4633.4,
RWF_2000,train,Violence,Train_Fight_359.avi,RWF_2000/train/Train_Fight/Train_Fight_359.avi,.avi,5.0,30.0,1280,720,mjpeg,150,9.68,16240.2,
RWF_2000,train,Violence,Train_Fight_360.avi,RWF_2000/train/Train_Fight/Train_Fight_360.avi,.avi,5.0,30.0,568,320,mjpeg,150,4.03,6764.7,
RWF_2000,train,Violence,Train_Fight_361.avi,RWF_2000/train/Train_Fight/Train_Fight_361.avi,.avi,5.0,30.0,320,240,mjpeg,150,2.02,3391.4,
RWF_2000,train,Violence,Train_Fight_369.avi,RWF_2000/train/Train_Fight/Train_Fight_369.avi,.avi,5.0,30.0,1280,720,mjpeg,150,15.92,26701.8,
RWF_2000,train,Violence,Train_Fight_371.avi,RWF_2000/train/Train_Fight/Train_Fight_371.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.39,2337.2,
RWF_2000,train,Violence,Train_Fight_374.avi,RWF_2000/train/Train_Fight/Train_Fight_374.avi,.avi,5.0,30.0,1280,720,mjpeg,150,10.74,18017.0,
RWF_2000,train,Violence,Train_Fight_378.avi,RWF_2000/train/Train_Fight/Train_Fight_378.avi,.avi,5.0,30.0,1280,720,mjpeg,150,10.24,17183.5,
RWF_2000,train,Violence,Train_Fight_380.avi,RWF_2000/train/Train_Fight/Train_Fight_380.avi,.avi,5.0,30.0,1280,720,mjpeg,150,23.86,40028.2,
RWF_2000,train,Violence,Train_Fight_381.avi,RWF_2000/train/Train_Fight/Train_Fight_381.avi,.avi,5.0,30.0,1280,720,mjpeg,150,13.59,22806.3,
RWF_2000,train,Violence,Train_Fight_383.avi,RWF_2000/train/Train_Fight/Train_Fight_383.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.38,2316.6,
RWF_2000,train,Violence,Train_Fight_385.avi,RWF_2000/train/Train_Fight/Train_Fight_385.avi,.avi,5.0,30.0,1280,720,mjpeg,150,7.46,12523.4,
RWF_2000,train,Violence,Train_Fight_386.avi,RWF_2000/train/Train_Fight/Train_Fight_386.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.47,2458.6,
RWF_2000,train,Violence,Train_Fight_388.avi,RWF_2000/train/Train_Fight/Train_Fight_388.avi,.avi,5.0,30.0,1280,720,mjpeg,150,17.43,29237.8,
RWF_2000,train,Violence,Train_Fight_392.avi,RWF_2000/train/Train_Fight/Train_Fight_392.avi,.avi,5.0,30.0,480,360,mjpeg,150,3.69,6195.7,
RWF_2000,train,Violence,Train_Fight_394.avi,RWF_2000/train/Train_Fight/Train_Fight_394.avi,.avi,5.0,30.0,406,720,mjpeg,150,3.89,6523.0,
RWF_2000,train,Violence,Train_Fight_395.avi,RWF_2000/train/Train_Fight/Train_Fight_395.avi,.avi,5.0,30.0,1280,720,mjpeg,150,9.49,15921.2,
RWF_2000,train,Violence,Train_Fight_399.avi,RWF_2000/train/Train_Fight/Train_Fight_399.avi,.avi,5.0,30.0,640,360,mjpeg,150,6.4,10740.7,
RWF_2000,train,Violence,Train_Fight_400.avi,RWF_2000/train/Train_Fight/Train_Fight_400.avi,.avi,5.0,30.0,400,216,mjpeg,150,2.21,3699.5,
RWF_2000,train,Violence,Train_Fight_401.avi,RWF_2000/train/Train_Fight/Train_Fight_401.avi,.avi,5.0,30.0,626,360,mjpeg,150,5.69,9549.7,
RWF_2000,train,Violence,Train_Fight_402.avi,RWF_2000/train/Train_Fight/Train_Fight_402.avi,.avi,5.0,30.0,320,240,mjpeg,150,2.21,3713.6,
RWF_2000,train,Violence,Train_Fight_404.avi,RWF_2000/train/Train_Fight/Train_Fight_404.avi,.avi,5.0,30.0,320,240,mjpeg,150,2.64,4430.7,
RWF_2000,train,Violence,Train_Fight_405.avi,RWF_2000/train/Train_Fight/Train_Fight_405.avi,.avi,5.0,30.0,1280,720,mjpeg,150,13.08,21951.0,
RWF_2000,train,Violence,Train_Fight_407.avi,RWF_2000/train/Train_Fight/Train_Fight_407.avi,.avi,5.0,30.0,1280,720,mjpeg,150,9.5,15939.3,
RWF_2000,train,Violence,Train_Fight_410.avi,RWF_2000/train/Train_Fight/Train_Fight_410.avi,.avi,5.0,30.0,320,240,mjpeg,150,2.06,3455.5,
RWF_2000,train,Violence,Train_Fight_412.avi,RWF_2000/train/Train_Fight/Train_Fight_412.avi,.avi,5.0,30.0,1280,720,mjpeg,150,6.29,10560.0,
RWF_2000,train,Violence,Train_Fight_413.avi,RWF_2000/train/Train_Fight/Train_Fight_413.avi,.avi,5.0,30.0,384,288,mjpeg,150,2.0,3360.2,
RWF_2000,train,Violence,Train_Fight_414.avi,RWF_2000/train/Train_Fight/Train_Fight_414.avi,.avi,5.0,30.0,1280,720,mjpeg,150,13.76,23088.9,
RWF_2000,train,Violence,Train_Fight_415.avi,RWF_2000/train/Train_Fight/Train_Fight_415.avi,.avi,5.0,30.0,1280,720,mjpeg,150,13.57,22775.1,
RWF_2000,train,Violence,Train_Fight_416.avi,RWF_2000/train/Train_Fight/Train_Fight_416.avi,.avi,5.0,30.0,640,360,mjpeg,150,4.65,7796.8,
RWF_2000,train,Violence,Train_Fight_417.avi,RWF_2000/train/Train_Fight/Train_Fight_417.avi,.avi,5.0,30.0,464,348,mjpeg,150,2.52,4228.8,
RWF_2000,train,Violence,Train_Fight_419.avi,RWF_2000/train/Train_Fight/Train_Fight_419.avi,.avi,5.0,30.0,1280,720,mjpeg,150,11.23,18838.5,
RWF_2000,train,Violence,Train_Fight_420.avi,RWF_2000/train/Train_Fight/Train_Fight_420.avi,.avi,5.0,30.0,1280,720,mjpeg,150,13.82,23191.7,
RWF_2000,train,Violence,Train_Fight_421.avi,RWF_2000/train/Train_Fight/Train_Fight_421.avi,.avi,5.0,30.0,204,360,mjpeg,150,1.59,2668.3,
RWF_2000,train,Violence,Train_Fight_422.avi,RWF_2000/train/Train_Fight/Train_Fight_422.avi,.avi,5.0,30.0,478,360,mjpeg,150,2.94,4927.7,
RWF_2000,train,Violence,Train_Fight_423.avi,RWF_2000/train/Train_Fight/Train_Fight_423.avi,.avi,5.0,30.0,400,188,mjpeg,150,1.45,2440.9,
RWF_2000,train,Violence,Train_Fight_424.avi,RWF_2000/train/Train_Fight/Train_Fight_424.avi,.avi,5.0,30.0,1280,720,mjpeg,150,15.69,26330.0,
RWF_2000,train,Violence,Train_Fight_425.avi,RWF_2000/train/Train_Fight/Train_Fight_425.avi,.avi,5.0,30.0,1280,720,mjpeg,150,6.08,10199.4,
RWF_2000,train,Violence,Train_Fight_432.avi,RWF_2000/train/Train_Fight/Train_Fight_432.avi,.avi,5.0,30.0,1920,1080,mjpeg,150,18.53,31093.7,
RWF_2000,train,Violence,Train_Fight_433.avi,RWF_2000/train/Train_Fight/Train_Fight_433.avi,.avi,5.0,30.0,204,360,mjpeg,150,1.68,2822.7,
RWF_2000,train,Violence,Train_Fight_435.avi,RWF_2000/train/Train_Fight/Train_Fight_435.avi,.avi,5.0,30.0,640,360,mjpeg,150,5.95,9987.0,
RWF_2000,train,Violence,Train_Fight_436.avi,RWF_2000/train/Train_Fight/Train_Fight_436.avi,.avi,5.0,30.0,1280,720,mjpeg,150,18.38,30831.0,
RWF_2000,train,Violence,Train_Fight_437.avi,RWF_2000/train/Train_Fight/Train_Fight_437.avi,.avi,5.0,30.0,636,480,mjpeg,150,4.75,7969.7,
RWF_2000,train,Violence,Train_Fight_440.avi,RWF_2000/train/Train_Fight/Train_Fight_440.avi,.avi,5.0,30.0,720,720,mjpeg,150,5.63,9440.3,
RWF_2000,train,Violence,Train_Fight_442.avi,RWF_2000/train/Train_Fight/Train_Fight_442.avi,.avi,5.0,30.0,1280,720,mjpeg,150,6.84,11478.0,
RWF_2000,train,Violence,Train_Fight_443.avi,RWF_2000/train/Train_Fight/Train_Fight_443.avi,.avi,5.0,30.0,480,360,mjpeg,150,3.04,5092.6,
RWF_2000,train,Violence,Train_Fight_444.avi,RWF_2000/train/Train_Fight/Train_Fight_444.avi,.avi,5.0,30.0,352,288,mjpeg,150,2.29,3847.0,
RWF_2000,train,Violence,Train_Fight_445.avi,RWF_2000/train/Train_Fight/Train_Fight_445.avi,.avi,5.0,30.0,1280,720,mjpeg,150,9.07,15209.4,
RWF_2000,train,Violence,Train_Fight_446.avi,RWF_2000/train/Train_Fight/Train_Fight_446.avi,.avi,5.0,30.0,1280,720,mjpeg,150,6.57,11016.6,
RWF_2000,train,Violence,Train_Fight_449.avi,RWF_2000/train/Train_Fight/Train_Fight_449.avi,.avi,5.0,30.0,640,360,mjpeg,150,6.15,10322.4,
RWF_2000,train,Violence,Train_Fight_453.avi,RWF_2000/train/Train_Fight/Train_Fight_453.avi,.avi,5.0,30.0,1280,720,mjpeg,150,11.4,19117.8,
RWF_2000,train,Violence,Train_Fight_454.avi,RWF_2000/train/Train_Fight/Train_Fight_454.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.79,2999.1,
RWF_2000,train,Violence,Train_Fight_455.avi,RWF_2000/train/Train_Fight/Train_Fight_455.avi,.avi,5.0,30.0,720,720,mjpeg,150,5.14,8630.7,
RWF_2000,train,Violence,Train_Fight_456.avi,RWF_2000/train/Train_Fight/Train_Fight_456.avi,.avi,5.0,30.0,1280,720,mjpeg,150,8.21,13767.4,
RWF_2000,train,Violence,Train_Fight_457.avi,RWF_2000/train/Train_Fight/Train_Fight_457.avi,.avi,5.0,30.0,640,360,mjpeg,150,3.54,5944.9,
RWF_2000,train,Violence,Train_Fight_458.avi,RWF_2000/train/Train_Fight/Train_Fight_458.avi,.avi,5.0,30.0,640,360,mjpeg,150,2.31,3876.8,
RWF_2000,train,Violence,Train_Fight_459.avi,RWF_2000/train/Train_Fight/Train_Fight_459.avi,.avi,5.0,30.0,1280,720,mjpeg,150,13.11,21987.3,
RWF_2000,train,Violence,Train_Fight_461.avi,RWF_2000/train/Train_Fight/Train_Fight_461.avi,.avi,5.0,30.0,640,360,mjpeg,150,6.23,10455.6,
RWF_2000,train,Violence,Train_Fight_462.avi,RWF_2000/train/Train_Fight/Train_Fight_462.avi,.avi,5.0,30.0,720,480,mjpeg,150,2.73,4576.9,
RWF_2000,train,Violence,Train_Fight_463.avi,RWF_2000/train/Train_Fight/Train_Fight_463.avi,.avi,5.0,30.0,960,720,mjpeg,150,5.41,9084.1,
RWF_2000,train,Violence,Train_Fight_464.avi,RWF_2000/train/Train_Fight/Train_Fight_464.avi,.avi,5.0,30.0,1280,720,mjpeg,150,6.01,10090.1,
RWF_2000,train,Violence,Train_Fight_465.avi,RWF_2000/train/Train_Fight/Train_Fight_465.avi,.avi,5.0,30.0,368,276,mjpeg,150,6.36,10677.3,
RWF_2000,train,Violence,Train_Fight_466.avi,RWF_2000/train/Train_Fight/Train_Fight_466.avi,.avi,5.0,30.0,426,240,mjpeg,150,2.69,4514.8,
RWF_2000,train,Violence,Train_Fight_467.avi,RWF_2000/train/Train_Fight/Train_Fight_467.avi,.avi,5.0,30.0,640,360,mjpeg,150,2.22,3718.1,
RWF_2000,train,Violence,Train_Fight_468.avi,RWF_2000/train/Train_Fight/Train_Fight_468.avi,.avi,5.0,30.0,480,360,mjpeg,150,3.75,6291.4,
RWF_2000,train,Violence,Train_Fight_469.avi,RWF_2000/train/Train_Fight/Train_Fight_469.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.15,1936.9,
RWF_2000,train,Violence,Train_Fight_470.avi,RWF_2000/train/Train_Fight/Train_Fight_470.avi,.avi,5.0,30.0,640,360,mjpeg,150,4.46,7489.6,
RWF_2000,train,Violence,Train_Fight_471.avi,RWF_2000/train/Train_Fight/Train_Fight_471.avi,.avi,5.0,30.0,1280,720,mjpeg,150,11.5,19301.0,
RWF_2000,train,Violence,Train_Fight_472.avi,RWF_2000/train/Train_Fight/Train_Fight_472.avi,.avi,5.0,30.0,640,360,mjpeg,150,1.97,3308.8,
RWF_2000,train,Violence,Train_Fight_474.avi,RWF_2000/train/Train_Fight/Train_Fight_474.avi,.avi,5.0,30.0,568,320,mjpeg,150,3.95,6635.0,
RWF_2000,train,Violence,Train_Fight_476.avi,RWF_2000/train/Train_Fight/Train_Fight_476.avi,.avi,5.0,30.0,1280,720,mjpeg,150,6.57,11025.2,
RWF_2000,train,Violence,Train_Fight_478.avi,RWF_2000/train/Train_Fight/Train_Fight_478.avi,.avi,5.0,30.0,1280,720,mjpeg,150,10.3,17277.8,
RWF_2000,train,Violence,Train_Fight_479.avi,RWF_2000/train/Train_Fight/Train_Fight_479.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.21,2036.3,
RWF_2000,train,Violence,Train_Fight_480.avi,RWF_2000/train/Train_Fight/Train_Fight_480.avi,.avi,5.0,30.0,1280,720,mjpeg,150,26.0,43628.8,
RWF_2000,train,Violence,Train_Fight_481.avi,RWF_2000/train/Train_Fight/Train_Fight_481.avi,.avi,5.0,30.0,464,348,mjpeg,150,2.26,3798.8,
RWF_2000,train,Violence,Train_Fight_482.avi,RWF_2000/train/Train_Fight/Train_Fight_482.avi,.avi,5.0,30.0,1280,720,mjpeg,150,9.25,15522.7,
RWF_2000,train,Violence,Train_Fight_483.avi,RWF_2000/train/Train_Fight/Train_Fight_483.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.07,1801.0,
RWF_2000,train,Violence,Train_Fight_484.avi,RWF_2000/train/Train_Fight/Train_Fight_484.avi,.avi,5.0,30.0,640,360,mjpeg,150,4.38,7344.4,
RWF_2000,train,Violence,Train_Fight_485.avi,RWF_2000/train/Train_Fight/Train_Fight_485.avi,.avi,5.0,30.0,720,720,mjpeg,150,5.28,8852.5,
RWF_2000,train,Violence,Train_Fight_486.avi,RWF_2000/train/Train_Fight/Train_Fight_486.avi,.avi,5.0,30.0,1280,720,mjpeg,150,9.96,16716.6,
RWF_2000,train,Violence,Train_Fight_488.avi,RWF_2000/train/Train_Fight/Train_Fight_488.avi,.avi,5.0,30.0,320,240,mjpeg,150,2.9,4860.4,
